Feature1, Feature2, Correlation, P-Value
average time to solve,Surface-Area-and-Volume,-0.0060986438389537, 0.85407298002013
average time to solve,Symbolization-Articulation,0.019139843869385068, 0.5637565638238775
average time to solve,Transformations/Rotations,0.0026595433903901537, 0.9360730694086955
average time to solve,Transversals,0.006140371466431536, 0.8530858342516497
average time to solve,Triangle-Inequality,-0.033946712298717346, 0.30580817113305125
average time to solve,Unit-Conversion,0.1259482803436032, 0.00013699388199407721
average time to solve,Venn-Diagram,0.07233896397866008, 0.028928823462742188
num_success,tot_time_spent,0.5075958402752365, 6.941342206839242e-61
num_success,num students,0.8389532132561943, 1.0995392438571167e-242
num_success,average time to solve,-0.08038833711776681, 0.015170798723681642
num_success,num_failed,0.1477190939275848, 7.481916490356195e-06
num_success,question_length,-0.12637536619109582, 0.00012994139461514997
num_success,person_name_count,-0.061128260609781084, 0.06500452723351807
num_success,conjunction_phrase_count,-0.025960513543645522, 0.43359947661793474
num_success,preposition_phrase_count,-0.1602024704610293, 1.157286978228774e-06
num_success,math_symbols_count,0.011069478176002021, 0.7384982865135538
num_success,success_rate,0.38315971552777006, 2.8953291177064358e-33
num_success,Adding-Decimals,0.1166057260486657, 0.00041771707163264763
num_success,Addition,0.048059905000243694, 0.14699583403263053
num_success,Algebraic-Manipulation,-0.015095447972030204, 0.648912666797019
num_success,Area,-0.051132057965821744, 0.12281962898748089
num_success,Area-Concept,0.05515668725257496, 0.09597695496408241
num_success,Area-of-Circle,-0.05754046063073433, 0.08243313138582127
num_success,Circle-Graph,0.007012135577492959, 0.8325174001354444
num_success,Circumference,-0.03163313097684677, 0.3399681240964425
num_success,Combinatorics,-0.052088657661751324, 0.11596150288661523
num_success,Comparing-Fractions,0.036740494905974155, 0.26769293338436706
num_success,Compounding_Interest,-0.018390160510307944, 0.5791300499834514
num_success,Congruence,-0.020299066879565508, 0.5403785062062331
num_success,Conversion-of-fractions-decimals-percents,-0.025950611929496166, 0.43377493381394244
num_success,Discount,-0.04455254523172762, 0.17885798435423797
num_success,Divide-Decimals,-0.02612187087040318, 0.4307459940153842
num_success,Divisibility,0.056608269774210795, 0.08753288308236089
num_success,Division,0.022955535176405507, 0.4886971972317556
num_success,Equation-Concept,0.034496031361481244, 0.2980434612874488
num_success,Equation-Solving,0.008380688338337888, 0.8004625151433482
num_success,Equivalent-Fractions-Decimals-Percents,-0.0018322619984383198, 0.955933513993078
num_success,Evaluating-Functions,-0.03128664537991616, 0.34528658666025924
num_success,Exponents,-0.05021481573087778, 0.12968874770601177
num_success,Finding-Percents,0.05743201853698446, 0.08301373587923984
num_success,Fraction-Decimals-Percents,0.03364069265268341, 0.31019137349437476
num_success,Fraction-Division,-0.02555224493424045, 0.44086793524935697
num_success,Fraction-Multiplication,0.015404236328431416, 0.642227034847553
num_success,Fractions,0.05347787500886471, 0.10654120871520308
num_success,Increasing_Percent_Sales_Tax,-0.05218223835598989, 0.11530706215299583
num_success,Inducing-Functions,-0.10815456311716354, 0.0010704789488704966
num_success,Integers,0.3136985225052094, 2.8273042944627444e-22
num_success,Interpreting-Linear-Equations,-0.05840418123137067, 0.07792519215033081
num_success,Interpreting-Numberline,-0.004496015646886739, 0.8921444899516423
num_success,Isosceles-Triangle,-0.013032822853899511, 0.6942755198424694
num_success,Knowing_English_and_Metric_Terms,-0.017644553295507175, 0.59461209998545
num_success,Least-Common-Multiple,-0.04773524866148783, 0.14974946154093338
num_success,Linear-Area-Volume-Conversion,-0.08292601647980805, 0.012238489834263403
num_success,Making-Sense-of-Expressions-and-Equations,-0.02763709499927016, 0.4044858316346347
num_success,Mean,-0.01644510568895568, 0.6199058965516759
num_success,Meaning-of-PI,0.06321555579632177, 0.056344880785031276
num_success,Measurement,-0.034478533458438564, 0.2982887511730114
num_success,Median,0.048606136807465575, 0.14245034370082774
num_success,Multiplication,0.030589284503286365, 0.35615047032558644
num_success,Multiplying-Decimals,0.032258354496884786, 0.33050453561281706
num_success,Multiplying-Positive-Negative-Numbers,-0.009919087119022268, 0.764828348310194
num_success,Number-Line,0.025590670301190423, 0.4401808855814743
num_success,Of-Means-Multiply,-0.05382117411631458, 0.10430922482696742
num_success,Ordering-Fractions,0.01066854932630577, 0.747641782671212
num_success,Ordering-Numbers,0.03819092398642061, 0.2492474539088663
num_success,Order-of-Operations,-0.04225957697182565, 0.20229842910333204
num_success,Pattern-Finding,-0.052082895239476394, 0.11600189647380248
num_success,Percent-Of,-0.030551100201597584, 0.35675147497717496
num_success,Percents,-0.0376816869305705, 0.2556197945288013
num_success,Perimeter,-0.013044840006766513, 0.6940078378610826
num_success,Point-Plotting,0.025965399614858137, 0.43351291024153366
num_success,Prime-Number,-0.009455081428106932, 0.7755277211652469
num_success,Probability,0.059390815474476985, 0.07302313732337501
num_success,Properties-of-Geometric-Figures,-0.0072925271510113346, 0.825925379901701
num_success,Properties-of-Solids,-0.011628854351921838, 0.7258029834566571
num_success,Proportion,-0.04489793046280721, 0.1755095327954478
num_success,Pythagorean-theorem,-0.0029547861393439865, 0.9289941734943572
num_success,Range,-0.029410433574077334, 0.37499846609045395
num_success,Rate,-0.01719375163079243, 0.6040633417650181
num_success,Rate-with-Distance-and-Time,-0.04677385883573261, 0.15813412790991557
num_success,Reading-graph,-0.009821621061551366, 0.7670721513309612
num_success,Reciprocal,-0.024152393049972777, 0.46631233922127796
num_success,Reduce-Fraction,-0.0434299590085263, 0.19006883075859027
num_success,Rounding,-0.004497461230159223, 0.8921100234171822
num_success,Scale,-0.03351387493303629, 0.31201989541215597
num_success,Scientific-Notation,0.03157363590954765, 0.3408776101790769
num_success,Similar-Triangles,-0.052379882342412205, 0.11393440404260133
num_success,Slope,0.14977317243379723, 5.559292173893562e-06
num_success,Square-Root,0.03882297820363468, 0.24149354383544286
num_success,Statistics,0.015510826993652443, 0.6399258895263024
num_success,Stem-and-Leaf-Plot,0.0349787596562503, 0.2913294995504887
num_success,Substitution,-0.04024096586359832, 0.22471885474588918
num_success,Subtracting-Decimals,0.016302452043017092, 0.6229450712224585
num_success,Subtraction,-0.019859398204489856, 0.5491880804310758
num_success,Sum-Of-Interior-Angles-more-than-3-Sides,-0.05583753486666904, 0.09193864838880621
num_success,Sum-of-Interior-Angles-Triangle,-0.08387752715836481, 0.011275638756609821
